spend_id,date,country,category,description,amount_original,currency,amount_usd
1,2026-06-23,Japan,Transit,Suica card deposit,2000.0,JPY,12.9
2,2026-06-24,Japan,Food & Drink,Lunch/Breakfast Udon curry bowl,900.0,JPY,5.81
3,2026-06-24,Japan,Convenience Store,7-Eleven ATM fee,110.0,JPY,0.71
4,2026-06-24,Japan,Food & Drink,"Cherry Redbull, Grape Gummys, Umbrella Don Quijote 1-24, Uenomiyacho Tennoji-Ku, Osaka, Osaka Japan 543-0037",3661.0,JPY,23.62
5,2026-06-24,Japan,Convenience Store,Family Mart Orange Juice Familymart Kintetsu Ōsaka-Uehommachi Station Shop ファミリーマート 近鉄大阪上本町駅店,340.0,JPY,2.19
6,2026-06-24,Japan,Convenience Store,yen vending machine yuzu lemon juice,100.0,JPY,0.65
7,2026-06-24,Japan,Food & Drink,Gyoza + some small samples Number 6,730.0,JPY,4.71
8,2026-06-24,Japan,Activities & Entertainment,Universal Studios Day Pass,8900.0,JPY,57.42
9,2026-06-24,Japan,Transit,Suica card refill,1000.0,JPY,6.45
10,2026-06-24,Japan,Convenience Store,Lawson onigiri and dango,529.0,JPY,3.41
11,2026-06-25,Japan,Activities & Entertainment,Nintendo Land Green Shell Calzone,1100.0,JPY,7.1
12,2026-06-25,Japan,Food & Drink,Isekai Food,1159.0,JPY,7.48
13,2026-06-25,Japan,Convenience Store,7/11 Yakisoba Egg and Coffee Jelly,710.0,JPY,4.58
14,2026-06-26,Japan,Transit,Suica card refill,2000.0,JPY,12.9
15,2026-06-26,Japan,Food & Drink,Sushi,1815.0,JPY,11.71
16,2026-06-26,Japan,Convenience Store,Lawson Noodles + more,1058.0,JPY,6.83
17,2026-06-27,Japan,Food & Drink,Lunch beef rice w miso soup and egg,790.0,JPY,5.1
18,2026-06-27,Japan,Food & Drink,Dinner ramen and meat sticks,1000.0,JPY,6.45
19,2026-06-27,Japan,Convenience Store,Lawson run with onigiris,1224.0,JPY,7.9
20,2026-06-28,Japan,Food & Drink,Pasta at Cafe,690.0,JPY,4.45
21,2026-06-28,Japan,Activities & Entertainment,Osaka Castle Ticket,1200.0,JPY,7.74
22,2026-06-28,Japan,Activities & Entertainment,Osaka Castle fridge magnet souvenir,350.0,JPY,2.26
23,2026-06-28,Japan,Convenience Store,lemon drink from 7/11,175.0,JPY,1.13
24,2026-06-28,Japan,Food & Drink,Curry Chicken Sandwich,850.0,JPY,5.48
25,2026-06-28,Japan,Food & Drink,Nagasaki Style Noodles,870.0,JPY,5.61
26,2026-06-28,Japan,Shopping,Chocolates to bring back to US,861.0,JPY,5.55
27,2026-06-28,Japan,Convenience Store,Lawson debloat health drink combo,675.0,JPY,4.35
28,2026-06-29,Japan,Food & Drink,Korean Spicy Ramen Lunch,900.0,JPY,5.81
29,2026-06-29,Japan,Convenience Store,Lawson Moomin White Soda,238.0,JPY,1.54
30,2026-06-29,Japan,Activities & Entertainment,Aquarium Ticket,2800.0,JPY,18.06
31,2026-06-29,Japan,Activities & Entertainment,Aquarium fridge magnet,473.0,JPY,3.05
32,2026-06-29,Japan,Food & Drink,Mr. Donut strawberry mochi donuts,183.0,JPY,1.18
33,2026-06-29,Japan,Health & Misc,Matcha ice cream,400.0,JPY,2.58
34,2026-06-29,Japan,Flights,Thailand flight booking (other flight was cancelled and refunded),246.0,USD,246.0
35,2026-06-29,Japan,Food & Drink,Sushi,721.0,JPY,4.65
36,2026-06-29,Japan,Health & Misc,Meat skewer and carmel ice cream,780.0,JPY,5.03
37,2026-06-29,Japan,Convenience Store,Lawson Onigiri & Matcha Scones,427.0,JPY,2.75
38,2026-06-30,Japan,Transit,Suica refill,1000.0,JPY,6.45
39,2026-06-30,Japan,Convenience Store,Family Mart onigiri and chocolate bread,368.0,JPY,2.37
40,2026-06-30,Japan,Food & Drink,Gyoza and DanDan noodles dinner,1360.0,JPY,8.77
41,2026-07-01,Japan,Health & Misc,Matcha shaved ice cream bowl,1000.0,JPY,6.45
42,2026-07-01,Japan,Transit,Train to airport fare ticket,1060.0,JPY,6.84
43,2026-07-01,Japan,Food & Drink,Airport 3 total Royce chocolates with ice pack bag,2870.0,JPY,18.52
44,2026-07-01,Japan,Food & Drink,Airport Sandwich,700.0,JPY,4.52
45,2026-07-02,Thailand,Health & Misc,10 day unlimited eSIM,4.72,USD,4.72
46,2026-07-02,Thailand,Convenience Store,7/11 chlorophyll drink and bottled water,70.0,THB,2.0
47,2026-07-02,Thailand,Food & Drink,Green curry omelette rice Lunch,59.0,THB,1.69
